word,frequency,percentage,percentage_str,pos
定位,15,0.14,0.14%,n
整栋,15,0.14,0.14%,m
卢伟,14,0.13,0.13%,n
不肯,14,0.13,0.13%,v
地址,14,0.13,0.13%,n
面膜,14,0.13,0.13%,n
转钱,14,0.13,0.13%,v
亮相,14,0.13,0.13%,n
认识,14,0.13,0.13%,v
三天,14,0.13,0.13%,m
冰称,14,0.13,0.13%,n
以内,14,0.13,0.13%,f
四千元,14,0.13,0.13%,m
非,14,0.13,0.13%,h
Buds,14,0.13,0.13%,eng
国补,14,0.13,0.13%,b
音质,14,0.13,0.13%,n
转帐,14,0.13,0.13%,v
积分,14,0.13,0.13%,ad
平时,14,0.13,0.13%,t
上海,14,0.13,0.13%,ns
俄,14,0.13,0.13%,j
多,13,0.12,0.12%,m
直接,13,0.12,0.12%,ad
MWC,13,0.12,0.12%,eng
新机,13,0.12,0.12%,n
他,13,0.12,0.12%,r
大学,13,0.12,0.12%,n
当时,12,0.11,0.11%,t
一场,12,0.11,0.11%,m
哪些,12,0.11,0.11%,r
称,12,0.11,0.11%,v
表妹,12,0.11,0.11%,n
AI,12,0.11,0.11%,eng
想着,12,0.11,0.11%,v
男子,12,0.11,0.11%,n
顺利,12,0.11,0.11%,ad
我妹,12,0.11,0.11%,n
后来,12,0.11,0.11%,t
所有,12,0.11,0.11%,b
觉得,12,0.11,0.11%,v
然后,12,0.11,0.11%,c
一,11,0.1,0.10%,m
出现,11,0.1,0.10%,v
谁,11,0.1,0.10%,r
公司,11,0.1,0.10%,n
机器人,11,0.1,0.10%,n
已,11,0.1,0.10%,d
嘴,11,0.1,0.10%,n
怎样,10,0.09,0.09%,r
塞,10,0.09,0.09%,v
看待,10,0.09,0.09%,v
DeepSeek,10,0.09,0.09%,eng
考研,10,0.09,0.09%,vn
受虐,10,0.09,0.09%,v
开启,10,0.09,0.09%,v
理想,10,0.09,0.09%,n
创新,10,0.09,0.09%,v
关系,9,0.08,0.08%,n
测试,9,0.08,0.08%,vn
并,9,0.08,0.08%,c
更,9,0.08,0.08%,d
结果,9,0.08,0.08%,n
自己,9,0.08,0.08%,r
特斯拉,9,0.08,0.08%,nrt
把,9,0.08,0.08%,p
看到,9,0.08,0.08%,v
大家,9,0.08,0.08%,n
张,9,0.08,0.08%,q
脑袋瓜,9,0.08,0.08%,n
乌克兰,9,0.08,0.08%,nr
上来,9,0.08,0.08%,t
汗,9,0.08,0.08%,zg
拉,9,0.08,0.08%,n
凯夫,9,0.08,0.08%,nrt
我俩,9,0.08,0.08%,r
三百多,9,0.08,0.08%,m
马斯克,8,0.07,0.07%,nr
note,8,0.07,0.07%,eng
带,8,0.07,0.07%,v
紫色,8,0.07,0.07%,n
快,8,0.07,0.07%,a
韵味,8,0.07,0.07%,n
转,8,0.07,0.07%,n
内,8,0.07,0.07%,n
拿不出,8,0.07,0.07%,v
中美,8,0.07,0.07%,ns
冲突,8,0.07,0.07%,vn
拍,8,0.07,0.07%,v
两年,8,0.07,0.07%,m
直播间,8,0.07,0.07%,n
湖南,8,0.07,0.07%,ns
通过,8,0.07,0.07%,p
超,8,0.07,0.07%,v
正在,8,0.07,0.07%,t
我心,8,0.07,0.07%,n
玩笑,8,0.07,0.07%,v
t,8,0.07,0.07%,x
荣耀,8,0.07,0.07%,nr
戳,8,0.07,0.07%,v
神机,8,0.07,0.07%,n
天玑,8,0.07,0.07%,nz
流泪,8,0.07,0.07%,n
还给,8,0.07,0.07%,v
明日,8,0.07,0.07%,t
耐心,8,0.07,0.07%,a
解答,8,0.07,0.07%,v
好看,8,0.07,0.07%,v
区别,8,0.07,0.07%,n
老人,8,0.07,0.07%,n
耐克,8,0.07,0.07%,nz
李威,8,0.07,0.07%,nr
岁,7,0.07,0.07%,m
国家,7,0.07,0.07%,n
很少,7,0.07,0.07%,m
乌,7,0.07,0.07%,j
拉拉,7,0.07,0.07%,nrt
像,7,0.07,0.07%,v
副,7,0.07,0.07%,b
原,7,0.07,0.07%,n
涉乌,7,0.07,0.07%,n
女生,7,0.07,0.07%,n
影响,7,0.07,0.07%,vn
马克,7,0.07,0.07%,nr
一脚,7,0.07,0.07%,mq
协议,7,0.07,0.07%,n
啥,7,0.07,0.07%,r
俄罗斯,7,0.07,0.07%,ns
是否,7,0.07,0.07%,v
经常,7,0.07,0.07%,d
精神,7,0.07,0.07%,n
只,7,0.07,0.07%,d
成为,7,0.07,0.07%,v
低,7,0.07,0.07%,a
喝酒,7,0.07,0.07%,v
啪,6,0.06,0.06%,o
啪啪,6,0.06,0.06%,o
期间,6,0.06,0.06%,f
小嘴,6,0.06,0.06%,n
疫情,6,0.06,0.06%,n
去往,6,0.06,0.06%,t
麦克风,6,0.06,0.06%,nr
进去,6,0.06,0.06%,v
而已,6,0.06,0.06%,y
争议,6,0.06,0.06%,n
难受,6,0.06,0.06%,v
熟知,6,0.06,0.06%,v
封城,6,0.06,0.06%,nr
北京,6,0.06,0.06%,ns
人类,6,0.06,0.06%,n
阳,6,0.06,0.06%,ng
齿轮,6,0.06,0.06%,n
转动,6,0.06,0.06%,v
角色,6,0.06,0.06%,n
组队,6,0.06,0.06%,n
哧溜,6,0.06,0.06%,o
进来,6,0.06,0.06%,v
圈羊,6,0.06,0.06%,n
评价,6,0.06,0.06%,n
最,6,0.06,0.06%,d
朋友,6,0.06,0.06%,n
踢出去,6,0.06,0.06%,v
我发,6,0.06,0.06%,n
连忙,6,0.06,0.06%,d
反正,6,0.06,0.06%,d
爆发,6,0.06,0.06%,v
单身,6,0.06,0.06%,n
一条,6,0.06,0.06%,m
几句,6,0.06,0.06%,m
苏州,6,0.06,0.06%,ns
实习,6,0.06,0.06%,v
忙碌,6,0.06,0.06%,a
渐渐,6,0.06,0.06%,d
三言两语,6,0.06,0.06%,i
聊,6,0.06,0.06%,v
美国,6,0.06,0.06%,ns
生涯,6,0.06,0.06%,n
转折点,6,0.06,0.06%,n
宇树,6,0.06,0.06%,nr
演员,6,0.06,0.06%,n
这家,6,0.06,0.06%,r
迈巴赫,6,0.06,0.06%,nrt
已经,6,0.06,0.06%,d
实习期,6,0.06,0.06%,n
赞成票,6,0.06,0.06%,n
查看,6,0.06,0.06%,v
推给,6,0.06,0.06%,v
狗,6,0.06,0.06%,n
拔刀,6,0.06,0.06%,v
贼,6,0.06,0.06%,n
吕布,6,0.06,0.06%,nr
当场,6,0.06,0.06%,s
打游戏,6,0.06,0.06%,l
我加,6,0.06,0.06%,n
贯穿,6,0.06,0.06%,v
好友,6,0.06,0.06%,n
反弹,6,0.06,0.06%,v
就是,6,0.06,0.06%,d
黄金,6,0.06,0.06%,n
段位,6,0.06,0.06%,n
正好,6,0.06,0.06%,a
命运,6,0.06,0.06%,n
身心,6,0.06,0.06%,n
美俄,6,0.06,0.06%,ns
儿戏,6,0.06,0.06%,n
汽车,6,0.06,0.06%,n
流汗,6,0.06,0.06%,n
那时,6,0.06,0.06%,r
奔,6,0.06,0.06%,n
os,6,0.06,0.06%,eng
现到,6,0.06,0.06%,n
不可思议,6,0.06,0.06%,i
出轨,6,0.06,0.06%,v
太,6,0.06,0.06%,d
问题,6,0.06,0.06%,n
图,6,0.06,0.06%,n
网友,6,0.06,0.06%,n
华为,6,0.06,0.06%,nr
回到,6,0.06,0.06%,v
博士,6,0.06,0.06%,n
老婆,6,0.06,0.06%,n
夏天,6,0.06,0.06%,t
院长,5,0.05,0.05%,n
事故,5,0.05,0.05%,n
比特,5,0.05,0.05%,nrt
美股,5,0.05,0.05%,m
币,5,0.05,0.05%,n
直播,5,0.05,0.05%,vn
吃,5,0.05,0.05%,v
小孩,5,0.05,0.05%,n
联合国安理会,5,0.05,0.05%,nt
因,5,0.05,0.05%,p
鹿晗,5,0.05,0.05%,nr
于,5,0.05,0.05%,p
高速,5,0.05,0.05%,d
继续,5,0.05,0.05%,v
一年,5,0.05,0.05%,m
接入,5,0.05,0.05%,v
导演,5,0.05,0.05%,v
我们,5,0.05,0.05%,r
澎湃,5,0.05,0.05%,v
计划,5,0.05,0.05%,n
决议,5,0.05,0.05%,n
但,5,0.05,0.05%,c
六,5,0.05,0.05%,m
预测,5,0.05,0.05%,vn
成绩,5,0.05,0.05%,n
专家,5,0.05,0.05%,n
一切,5,0.05,0.05%,r
停战,5,0.05,0.05%,v
偶遇,5,0.05,0.05%,n
普京,5,0.05,0.05%,ns
全国,5,0.05,0.05%,n
董明珠,5,0.05,0.05%,nr
龙,5,0.05,0.05%,n
官方,5,0.05,0.05%,n
姊妹,5,0.05,0.05%,n
开源,5,0.05,0.05%,n
无,5,0.05,0.05%,v
不会,5,0.05,0.05%,v
关晓彤,5,0.05,0.05%,nrfg
前,5,0.05,0.05%,f
做,5,0.05,0.05%,v
免职,5,0.05,0.05%,v
百万,5,0.05,0.05%,m
科技,5,0.05,0.05%,n
南京师范大学,5,0.05,0.05%,nt
肖战,5,0.05,0.05%,nr
该,5,0.05,0.05%,r
模型,4,0.04,0.04%,n
矿产,4,0.04,0.04%,n
调整,4,0.04,0.04%,vn
状态,4,0.04,0.04%,n
手,4,0.04,0.04%,s
线,4,0.04,0.04%,n
上演,4,0.04,0.04%,v
河南,4,0.04,0.04%,ns
一加,4,0.04,0.04%,d
暴力,4,0.04,0.04%,n
辞,4,0.04,0.04%,v
亿美元,4,0.04,0.04%,m
开,4,0.04,0.04%,v
hyper,4,0.04,0.04%,eng
SUV,4,0.04,0.04%,eng
租赁,4,0.04,0.04%,v
环境,4,0.04,0.04%,n
烟花,4,0.04,0.04%,n
纯电,4,0.04,0.04%,n
江汽,4,0.04,0.04%,j
格力,4,0.04,0.04%,n
或,4,0.04,0.04%,c
小时,4,0.04,0.04%,n
钦,4,0.04,0.04%,n
MIUI,4,0.04,0.04%,eng
安理会,4,0.04,0.04%,nt
原生,4,0.04,0.04%,n
丨,4,0.04,0.04%,zg
以,4,0.04,0.04%,p
高校,4,0.04,0.04%,n
集团,4,0.04,0.04%,n
连斯基,4,0.04,0.04%,nr
越南,4,0.04,0.04%,ns
号,4,0.04,0.04%,q
鸿沟,4,0.04,0.04%,n
这部,4,0.04,0.04%,r
医生,4,0.04,0.04%,n
欧洲,4,0.04,0.04%,ns
阿里,4,0.04,0.04%,nrt
跌,4,0.04,0.04%,v
强奸,4,0.04,0.04%,n
面临,4,0.04,0.04%,v
渠道,4,0.04,0.04%,n
泽,4,0.04,0.04%,nr
凡,4,0.04,0.04%,d
酷,4,0.04,0.04%,n
父母,4,0.04,0.04%,n
美,4,0.04,0.04%,j
俄均,4,0.04,0.04%,j
美债,4,0.04,0.04%,n
俄乌,4,0.04,0.04%,n
信号,4,0.04,0.04%,n
票房,4,0.04,0.04%,n
学历,4,0.04,0.04%,n
曝光,4,0.04,0.04%,nz
不能,4,0.04,0.04%,v
愿意,4,0.04,0.04%,v
已致,4,0.04,0.04%,d
孩子,4,0.04,0.04%,n
两个,4,0.04,0.04%,m
到底,4,0.04,0.04%,d
员工,4,0.04,0.04%,n
暂停,4,0.04,0.04%,d
表示,4,0.04,0.04%,v
宣布,4,0.04,0.04%,v
总统,4,0.04,0.04%,n
身亡,4,0.04,0.04%,v
名,4,0.04,0.04%,q
成,4,0.04,0.04%,n
选择,4,0.04,0.04%,v
明确,4,0.04,0.04%,ad
这么,4,0.04,0.04%,r
出,4,0.04,0.04%,v
JDG,4,0.04,0.04%,eng
AL,4,0.04,0.04%,eng
爱,4,0.04,0.04%,v
投下,4,0.04,0.04%,v
能否,4,0.04,0.04%,v
结束,4,0.04,0.04%,v
不想,4,0.04,0.04%,v
出来,4,0.04,0.04%,v
账号,4,0.04,0.04%,n
其,4,0.04,0.04%,r
宋,4,0.04,0.04%,nr
发现,4,0.04,0.04%,v
